VIX Index,VIX Index,,SPX Index,SPX Index
3/4/2005,11.94,,3/4/2005,1222.13
3/7/2005,12.26,,3/7/2005,1225.31
3/8/2005,12.4,,3/8/2005,1219.43
3/9/2005,12.7,,3/9/2005,1207.01
3/10/2005,12.49,,3/10/2005,1209.25
3/11/2005,12.8,,3/11/2005,1200.08
3/14/2005,12.39,,3/14/2005,1206.83
3/15/2005,13.15,,3/15/2005,1197.75
3/16/2005,13.49,,3/16/2005,1188.07
3/17/2005,13.29,,3/17/2005,1190.21
3/18/2005,13.14,,3/18/2005,1189.65
3/21/2005,13.61,,3/21/2005,1183.79
3/22/2005,14.27,,3/22/2005,1171.71
3/23/2005,14.06,,3/23/2005,1172.53
3/24/2005,13.42,,3/24/2005,1171.42
3/28/2005,13.75,,3/28/2005,1174.28
3/29/2005,14.49,,3/29/2005,1165.36
3/30/2005,13.64,,3/30/2005,1181.41
3/31/2005,14.02,,3/31/2005,1180.59
4/1/2005,14.09,,4/1/2005,1172.92
4/4/2005,14.11,,4/4/2005,1176.12
4/5/2005,13.68,,4/5/2005,1181.39
4/6/2005,13.15,,4/6/2005,1184.07
4/7/2005,12.33,,4/7/2005,1191.14
4/8/2005,12.62,,4/8/2005,1181.2
4/11/2005,11.98,,4/11/2005,1181.21
4/12/2005,11.3,,4/12/2005,1187.76
4/13/2005,13.31,,4/13/2005,1173.79
4/14/2005,14.53,,4/14/2005,1162.05
4/15/2005,17.74,,4/15/2005,1142.62
4/18/2005,16.56,,4/18/2005,1145.98
4/19/2005,14.96,,4/19/2005,1152.78
4/20/2005,16.92,,4/20/2005,1137.5
4/21/2005,14.41,,4/21/2005,1159.95
4/22/2005,15.38,,4/22/2005,1152.12
4/25/2005,14.62,,4/25/2005,1162.1
4/26/2005,14.91,,4/26/2005,1151.74
4/27/2005,14.87,,4/27/2005,1156.38
4/28/2005,16.86,,4/28/2005,1143.22
4/29/2005,15.31,,4/29/2005,1156.85
5/2/2005,15.12,,5/2/2005,1162.16
5/3/2005,14.53,,5/3/2005,1161.17
5/4/2005,13.85,,5/4/2005,1175.65
5/5/2005,13.98,,5/5/2005,1172.63
5/6/2005,14.05,,5/6/2005,1171.35
5/9/2005,13.75,,5/9/2005,1178.84
5/10/2005,14.91,,5/10/2005,1166.22
5/11/2005,14.45,,5/11/2005,1171.11
5/12/2005,16.12,,5/12/2005,1159.36
5/13/2005,16.32,,5/13/2005,1154.05
5/16/2005,15.68,,5/16/2005,1165.69
5/17/2005,14.57,,5/17/2005,1173.8
5/18/2005,13.63,,5/18/2005,1185.56
5/19/2005,13.32,,5/19/2005,1191.08
5/20/2005,13.14,,5/20/2005,1189.28
5/23/2005,12.95,,5/23/2005,1193.86
5/24/2005,12.69,,5/24/2005,1194.07
5/25/2005,12.58,,5/25/2005,1190.01
5/26/2005,12.24,,5/26/2005,1197.63
5/27/2005,12.15,,5/27/2005,1198.78
5/31/2005,13.29,,5/31/2005,1191.5
6/1/2005,12.36,,6/1/2005,1202.27
6/2/2005,11.84,,6/2/2005,1204.29
6/3/2005,12.15,,6/3/2005,1196.02
6/6/2005,12.28,,6/6/2005,1197.51
6/7/2005,12.39,,6/7/2005,1197.26
6/8/2005,12.7,,6/8/2005,1194.67
6/9/2005,12.08,,6/9/2005,1200.93
6/10/2005,11.96,,6/10/2005,1198.11
6/13/2005,11.65,,6/13/2005,1200.82
6/14/2005,11.79,,6/14/2005,1203.91
6/15/2005,11.46,,6/15/2005,1206.58
6/16/2005,11.15,,6/16/2005,1210.96
6/17/2005,11.48,,6/17/2005,1216.96
6/20/2005,11.47,,6/20/2005,1216.1
6/21/2005,11.08,,6/21/2005,1213.61
6/22/2005,11.05,,6/22/2005,1213.88
6/23/2005,12.13,,6/23/2005,1200.73
6/24/2005,12.18,,6/24/2005,1191.57
6/27/2005,12.52,,6/27/2005,1190.69
6/28/2005,11.58,,6/28/2005,1201.57
6/29/2005,11.77,,6/29/2005,1199.85
6/30/2005,12.04,,6/30/2005,1191.33
7/1/2005,11.4,,7/1/2005,1194.44
7/5/2005,11.68,,7/5/2005,1204.99
7/6/2005,12.27,,7/6/2005,1194.94
7/7/2005,12.49,,7/7/2005,1197.87
7/8/2005,11.45,,7/8/2005,1211.86
7/11/2005,11.28,,7/11/2005,1219.44
7/12/2005,10.95,,7/12/2005,1222.21
7/13/2005,10.84,,7/13/2005,1223.29
7/14/2005,10.81,,7/14/2005,1226.5
7/15/2005,10.33,,7/15/2005,1227.92
7/18/2005,10.77,,7/18/2005,1221.13
7/19/2005,10.45,,7/19/2005,1229.35
7/20/2005,10.23,,7/20/2005,1235.2
7/21/2005,10.97,,7/21/2005,1227.04
7/22/2005,10.52,,7/22/2005,1233.68
7/25/2005,11.1,,7/25/2005,1229.03
7/26/2005,10.99,,7/26/2005,1231.16
7/27/2005,10.36,,7/27/2005,1236.79
7/28/2005,10.52,,7/28/2005,1243.72
7/29/2005,11.57,,7/29/2005,1234.18
8/1/2005,12.08,,8/1/2005,1235.35
8/2/2005,11.75,,8/2/2005,1244.12
8/3/2005,11.83,,8/3/2005,1245.05
8/4/2005,12.52,,8/4/2005,1235.86
8/5/2005,12.48,,8/5/2005,1226.42
8/8/2005,13.21,,8/8/2005,1223.13
8/9/2005,12.4,,8/9/2005,1231.38
8/10/2005,12.38,,8/10/2005,1229.13
8/11/2005,12.42,,8/11/2005,1237.81
8/12/2005,12.74,,8/12/2005,1230.39
8/15/2005,12.26,,8/15/2005,1233.87
8/16/2005,13.52,,8/16/2005,1219.34
8/17/2005,13.3,,8/17/2005,1220.24
8/18/2005,13.42,,8/18/2005,1219.02
8/19/2005,13.42,,8/19/2005,1219.71
8/22/2005,13.42,,8/22/2005,1221.73
8/23/2005,13.34,,8/23/2005,1217.57
8/24/2005,14.17,,8/24/2005,1209.59
8/25/2005,13.73,,8/25/2005,1212.4
8/26/2005,13.72,,8/26/2005,1205.1
8/29/2005,13.52,,8/29/2005,1212.28
8/30/2005,13.65,,8/30/2005,1208.41
8/31/2005,12.6,,8/31/2005,1220.33
9/1/2005,13.15,,9/1/2005,1221.59
9/2/2005,13.57,,9/2/2005,1218.02
9/6/2005,12.93,,9/6/2005,1233.39
9/7/2005,12.52,,9/7/2005,1236.36
9/8/2005,12.93,,9/8/2005,1231.67
9/9/2005,11.98,,9/9/2005,1241.48
9/12/2005,11.65,,9/12/2005,1240.56
9/13/2005,12.39,,9/13/2005,1231.2
9/14/2005,12.91,,9/14/2005,1227.16
9/15/2005,12.49,,9/15/2005,1227.73
9/16/2005,11.22,,9/16/2005,1237.91
9/19/2005,12.14,,9/19/2005,1231.02
9/20/2005,12.64,,9/20/2005,1221.35
9/21/2005,13.79,,9/21/2005,1210.2
9/22/2005,13.33,,9/22/2005,1214.62
9/23/2005,12.96,,9/23/2005,1215.29
9/26/2005,13.04,,9/26/2005,1215.63
9/27/2005,12.76,,9/27/2005,1215.66
9/28/2005,12.63,,9/28/2005,1216.89
9/29/2005,12.24,,9/29/2005,1227.68
9/30/2005,11.92,,9/30/2005,1228.81
10/3/2005,12.46,,10/3/2005,1226.7
10/4/2005,13.2,,10/4/2005,1214.47
10/5/2005,14.55,,10/5/2005,1196.39
10/6/2005,14.96,,10/6/2005,1191.49
10/7/2005,14.59,,10/7/2005,1195.9
10/10/2005,15.55,,10/10/2005,1187.33
10/11/2005,15.63,,10/11/2005,1184.87
10/12/2005,16.22,,10/12/2005,1177.68
10/13/2005,16.47,,10/13/2005,1176.84
10/14/2005,14.87,,10/14/2005,1186.57
10/17/2005,14.67,,10/17/2005,1190.1
10/18/2005,15.33,,10/18/2005,1178.14
10/19/2005,13.5,,10/19/2005,1195.76
10/20/2005,16.11,,10/20/2005,1177.8
10/21/2005,16.13,,10/21/2005,1179.59
10/24/2005,14.74,,10/24/2005,1199.38
10/25/2005,14.53,,10/25/2005,1196.54
10/26/2005,14.59,,10/26/2005,1191.38
10/27/2005,16.02,,10/27/2005,1178.9
10/28/2005,14.25,,10/28/2005,1198.41
10/31/2005,15.32,,10/31/2005,1207.01
11/1/2005,14.85,,11/1/2005,1202.76
11/2/2005,13.48,,11/2/2005,1214.76
11/3/2005,13,,11/3/2005,1219.94
11/4/2005,13.17,,11/4/2005,1220.14
11/7/2005,13.1,,11/7/2005,1222.81
11/8/2005,13.08,,11/8/2005,1218.59
11/9/2005,12.8,,11/9/2005,1220.65
11/10/2005,11.9,,11/10/2005,1230.96
11/11/2005,11.63,,11/11/2005,1234.71
11/14/2005,12.18,,11/14/2005,1233.76
11/15/2005,12.23,,11/15/2005,1229.01
11/16/2005,12.26,,11/16/2005,1231.21
11/17/2005,11.25,,11/17/2005,1242.8
11/18/2005,11.12,,11/18/2005,1248.27
11/21/2005,10.82,,11/21/2005,1254.85
11/22/2005,10.6,,11/22/2005,1261.23
11/23/2005,10.96,,11/23/2005,1265.61
11/25/2005,10.88,,11/25/2005,1268.25
11/28/2005,11.84,,11/28/2005,1257.46
11/29/2005,11.89,,11/29/2005,1257.48
11/30/2005,12.06,,11/30/2005,1249.48
12/1/2005,11.24,,12/1/2005,1264.67
12/2/2005,11.01,,12/2/2005,1265.08
12/5/2005,11.6,,12/5/2005,1262.09
12/6/2005,11.52,,12/6/2005,1263.7
12/7/2005,12.18,,12/7/2005,1257.37
12/8/2005,12.21,,12/8/2005,1255.84
12/9/2005,11.69,,12/9/2005,1259.37
12/12/2005,11.47,,12/12/2005,1260.43
12/13/2005,11.11,,12/13/2005,1267.43
12/14/2005,10.48,,12/14/2005,1272.74
12/15/2005,10.73,,12/15/2005,1270.94
12/16/2005,10.68,,12/16/2005,1267.32
12/19/2005,11.38,,12/19/2005,1259.92
12/20/2005,11.19,,12/20/2005,1259.62
12/21/2005,10.81,,12/21/2005,1262.8
12/22/2005,10.29,,12/22/2005,1268.12
12/23/2005,10.27,,12/23/2005,1268.66
12/27/2005,11.57,,12/27/2005,1256.54
12/28/2005,11.35,,12/28/2005,1258.17
12/29/2005,11.61,,12/29/2005,1254.42
12/30/2005,12.07,,12/30/2005,1248.29
1/3/2006,11.14,,1/3/2006,1268.8
1/4/2006,11.37,,1/4/2006,1273.46
1/5/2006,11.31,,1/5/2006,1273.48
1/6/2006,11,,1/6/2006,1285.45
1/9/2006,11.13,,1/9/2006,1290.15
1/10/2006,10.86,,1/10/2006,1289.69
1/11/2006,10.94,,1/11/2006,1294.18
1/12/2006,11.2,,1/12/2006,1286.06
1/13/2006,11.23,,1/13/2006,1287.61
1/17/2006,11.91,,1/17/2006,1282.93
1/18/2006,12.25,,1/18/2006,1277.93
1/19/2006,11.98,,1/19/2006,1285.04
1/20/2006,14.56,,1/20/2006,1261.48
1/23/2006,13.93,,1/23/2006,1263.83
1/24/2006,13.31,,1/24/2006,1266.86
1/25/2006,12.87,,1/25/2006,1264.68
1/26/2006,12.42,,1/26/2006,1273.83
1/27/2006,11.97,,1/27/2006,1283.72
1/30/2006,12.39,,1/30/2006,1285.2
1/31/2006,12.95,,1/31/2006,1280.09
2/1/2006,12.36,,2/1/2006,1282.46
2/2/2006,13.23,,2/2/2006,1270.84
2/3/2006,12.96,,2/3/2006,1264.03
2/6/2006,13.04,,2/6/2006,1265.02
2/7/2006,13.59,,2/7/2006,1254.78
2/8/2006,12.83,,2/8/2006,1265.65
2/9/2006,13.12,,2/9/2006,1263.78
2/10/2006,12.87,,2/10/2006,1266.99
2/13/2006,13.35,,2/13/2006,1262.86
2/14/2006,12.25,,2/14/2006,1275.53
2/15/2006,12.31,,2/15/2006,1280
2/16/2006,11.48,,2/16/2006,1289.38
2/17/2006,12.01,,2/17/2006,1287.24
2/21/2006,12.41,,2/21/2006,1283.03
2/22/2006,11.88,,2/22/2006,1292.67
2/23/2006,11.87,,2/23/2006,1287.79
2/24/2006,11.46,,2/24/2006,1289.43
2/27/2006,11.59,,2/27/2006,1294.12
2/28/2006,12.34,,2/28/2006,1280.66
3/1/2006,11.54,,3/1/2006,1291.24
3/2/2006,11.72,,3/2/2006,1289.14
3/3/2006,11.96,,3/3/2006,1287.23
3/6/2006,12.74,,3/6/2006,1278.26
3/7/2006,12.66,,3/7/2006,1275.88
3/8/2006,12.32,,3/8/2006,1278.47
3/9/2006,12.68,,3/9/2006,1272.23
3/10/2006,11.85,,3/10/2006,1281.58
3/13/2006,11.37,,3/13/2006,1284.13
3/14/2006,10.74,,3/14/2006,1297.48
3/15/2006,11.35,,3/15/2006,1303.02
3/16/2006,11.98,,3/16/2006,1305.33
3/17/2006,12.12,,3/17/2006,1307.25
3/20/2006,11.79,,3/20/2006,1305.08
3/21/2006,11.62,,3/21/2006,1297.23
3/22/2006,11.21,,3/22/2006,1305.04
3/23/2006,11.17,,3/23/2006,1301.67
3/24/2006,11.19,,3/24/2006,1302.95
3/27/2006,11.46,,3/27/2006,1301.61
3/28/2006,11.58,,3/28/2006,1293.22
3/29/2006,10.95,,3/29/2006,1302.89
3/30/2006,11.57,,3/30/2006,1300.25
3/31/2006,11.39,,3/31/2006,1294.83
4/3/2006,11.57,,4/3/2006,1297.81
4/4/2006,11.14,,4/4/2006,1305.94
4/5/2006,11.13,,4/5/2006,1311.56
4/6/2006,11.45,,4/6/2006,1309.04
4/7/2006,12.26,,4/7/2006,1295.5
4/10/2006,12.19,,4/10/2006,1296.61
4/11/2006,13,,4/11/2006,1286.58
4/12/2006,12.76,,4/12/2006,1288.13
4/13/2006,12.38,,4/13/2006,1289.12
4/17/2006,12.58,,4/17/2006,1285.33
4/18/2006,11.4,,4/18/2006,1307.65
4/19/2006,11.32,,4/19/2006,1309.93
4/20/2006,11.64,,4/20/2006,1311.46
4/21/2006,11.59,,4/21/2006,1311.28
4/24/2006,11.75,,4/24/2006,1308.11
4/25/2006,11.75,,4/25/2006,1301.74
4/26/2006,11.76,,4/26/2006,1305.41
4/27/2006,11.84,,4/27/2006,1309.72
4/28/2006,11.59,,4/28/2006,1310.61
5/1/2006,12.54,,5/1/2006,1305.19
5/2/2006,11.99,,5/2/2006,1313.21
5/3/2006,11.99,,5/3/2006,1307.85
5/4/2006,11.86,,5/4/2006,1312.25
5/5/2006,11.62,,5/5/2006,1325.76
5/8/2006,12,,5/8/2006,1324.66
5/9/2006,11.99,,5/9/2006,1325.14
5/10/2006,11.78,,5/10/2006,1322.85
5/11/2006,12.49,,5/11/2006,1305.92
5/12/2006,14.19,,5/12/2006,1291.24
5/15/2006,13.57,,5/15/2006,1294.5
5/16/2006,13.35,,5/16/2006,1292.08
5/17/2006,16.26,,5/17/2006,1270.32
5/18/2006,16.99,,5/18/2006,1261.81
5/19/2006,17.18,,5/19/2006,1267.03
5/22/2006,17.72,,5/22/2006,1262.07
5/23/2006,18.26,,5/23/2006,1256.58
5/24/2006,17.36,,5/24/2006,1258.57
5/25/2006,15.5,,5/25/2006,1272.88
5/26/2006,14.26,,5/26/2006,1280.16
5/30/2006,18.66,,5/30/2006,1259.84
5/31/2006,16.44,,5/31/2006,1270.09
6/1/2006,14.52,,6/1/2006,1285.71
6/2/2006,14.32,,6/2/2006,1288.22
6/5/2006,16.65,,6/5/2006,1265.29
6/6/2006,17.34,,6/6/2006,1263.85
6/7/2006,17.8,,6/7/2006,1256.15
6/8/2006,18.35,,6/8/2006,1257.93
6/9/2006,18.12,,6/9/2006,1252.3
6/12/2006,20.96,,6/12/2006,1236.4
6/13/2006,23.81,,6/13/2006,1223.69
6/14/2006,21.46,,6/14/2006,1230.04
6/15/2006,15.9,,6/15/2006,1256.16
6/16/2006,17.25,,6/16/2006,1251.54
6/19/2006,17.83,,6/19/2006,1240.14
6/20/2006,16.69,,6/20/2006,1240.12
6/21/2006,15.52,,6/21/2006,1252.21
6/22/2006,15.88,,6/22/2006,1245.6
6/23/2006,15.89,,6/23/2006,1244.5
6/26/2006,15.62,,6/26/2006,1250.56
6/27/2006,16.4,,6/27/2006,1239.2
6/28/2006,15.79,,6/28/2006,1246
6/29/2006,13.03,,6/29/2006,1272.87
6/30/2006,13.08,,6/30/2006,1270.2
7/3/2006,13.05,,7/3/2006,1280.19
7/5/2006,14.15,,7/5/2006,1270.91
7/6/2006,13.65,,7/6/2006,1274.08
7/7/2006,13.97,,7/7/2006,1265.48
7/10/2006,14.02,,7/10/2006,1267.34
7/11/2006,13.14,,7/11/2006,1272.52
7/12/2006,14.49,,7/12/2006,1258.6
7/13/2006,17.79,,7/13/2006,1242.29
7/14/2006,18.05,,7/14/2006,1236.2
7/17/2006,18.64,,7/17/2006,1234.49
7/18/2006,17.74,,7/18/2006,1236.86
7/19/2006,15.55,,7/19/2006,1259.81
7/20/2006,16.21,,7/20/2006,1249.13
7/21/2006,17.4,,7/21/2006,1240.29
7/24/2006,14.98,,7/24/2006,1260.91
7/25/2006,14.85,,7/25/2006,1268.88
7/26/2006,14.62,,7/26/2006,1268.4
7/27/2006,14.94,,7/27/2006,1263.2
7/28/2006,14.33,,7/28/2006,1278.55
7/31/2006,14.95,,7/31/2006,1276.66
8/1/2006,15.05,,8/1/2006,1270.92
8/2/2006,14.34,,8/2/2006,1278.55
8/3/2006,14.46,,8/3/2006,1280.27
8/4/2006,14.34,,8/4/2006,1279.36
8/7/2006,15.23,,8/7/2006,1275.77
8/8/2006,15.23,,8/8/2006,1271.48
8/9/2006,15.2,,8/9/2006,1265.95
8/10/2006,14.46,,8/10/2006,1271.81
8/11/2006,14.3,,8/11/2006,1266.74
8/14/2006,14.26,,8/14/2006,1268.21
8/15/2006,13.42,,8/15/2006,1285.58
8/16/2006,12.41,,8/16/2006,1295.43
8/17/2006,12.24,,8/17/2006,1297.48
8/18/2006,11.64,,8/18/2006,1302.3
8/21/2006,12.22,,8/21/2006,1297.52
8/22/2006,12.19,,8/22/2006,1298.82
8/23/2006,12.4,,8/23/2006,1292.99
8/24/2006,12.4,,8/24/2006,1296.06
8/25/2006,12.31,,8/25/2006,1295.09
8/28/2006,12.18,,8/28/2006,1301.79
8/29/2006,12.28,,8/29/2006,1304.28
8/30/2006,12.22,,8/30/2006,1304.27
8/31/2006,12.31,,8/31/2006,1303.82
9/1/2006,11.96,,9/1/2006,1311.01
9/5/2006,12.63,,9/5/2006,1313.25
9/6/2006,13.74,,9/6/2006,1300.26
9/7/2006,13.88,,9/7/2006,1294.02
9/8/2006,13.16,,9/8/2006,1298.92
9/11/2006,12.99,,9/11/2006,1299.54
9/12/2006,11.92,,9/12/2006,1313.11
9/13/2006,11.18,,9/13/2006,1318.07
9/14/2006,11.55,,9/14/2006,1316.28
9/15/2006,11.76,,9/15/2006,1319.87
9/18/2006,11.78,,9/18/2006,1321.18
9/19/2006,11.98,,9/19/2006,1318.31
9/20/2006,11.39,,9/20/2006,1325.18
9/21/2006,12.25,,9/21/2006,1318.03
9/22/2006,12.59,,9/22/2006,1314.78
9/25/2006,12.12,,9/25/2006,1326.37
9/26/2006,11.53,,9/26/2006,1336.34
9/27/2006,11.58,,9/27/2006,1336.59
9/28/2006,11.72,,9/28/2006,1339.15
9/29/2006,11.98,,9/29/2006,1335.85
10/2/2006,12.57,,10/2/2006,1331.32
10/3/2006,12.24,,10/3/2006,1334.11
10/4/2006,11.86,,10/4/2006,1350.22
10/5/2006,11.98,,10/5/2006,1353.22
10/6/2006,11.56,,10/6/2006,1349.58
10/9/2006,11.68,,10/9/2006,1350.66
10/10/2006,11.52,,10/10/2006,1353.42
10/11/2006,11.62,,10/11/2006,1349.95
10/12/2006,11.09,,10/12/2006,1362.83
10/13/2006,10.75,,10/13/2006,1365.62
10/16/2006,11.09,,10/16/2006,1369.06
10/17/2006,11.73,,10/17/2006,1364.05
10/18/2006,11.34,,10/18/2006,1365.96
10/19/2006,10.9,,10/19/2006,1366.96
10/20/2006,10.63,,10/20/2006,1368.6
10/23/2006,11.08,,10/23/2006,1377.02
10/24/2006,10.78,,10/24/2006,1377.38
10/25/2006,10.66,,10/25/2006,1382.23
10/26/2006,10.56,,10/26/2006,1389.09
10/27/2006,10.8,,10/27/2006,1377.34
10/30/2006,11.2,,10/30/2006,1377.93
10/31/2006,11.1,,10/31/2006,1377.94
11/1/2006,11.51,,11/1/2006,1367.81
11/2/2006,11.42,,11/2/2006,1367.34
11/3/2006,11.16,,11/3/2006,1364.3
11/6/2006,11.16,,11/6/2006,1379.78
11/7/2006,11.09,,11/7/2006,1382.84
11/8/2006,10.75,,11/8/2006,1385.72
11/9/2006,11.01,,11/9/2006,1378.33
11/10/2006,10.79,,11/10/2006,1380.9
11/13/2006,10.86,,11/13/2006,1384.42
11/14/2006,10.5,,11/14/2006,1393.22
11/15/2006,10.31,,11/15/2006,1396.57
11/16/2006,10.16,,11/16/2006,1399.76
11/17/2006,10.05,,11/17/2006,1401.2
11/20/2006,9.97,,11/20/2006,1400.5
11/21/2006,9.9,,11/21/2006,1402.81
11/22/2006,10.14,,11/22/2006,1406.09
11/24/2006,10.73,,11/24/2006,1400.95
11/27/2006,12.3,,11/27/2006,1381.9
11/28/2006,11.62,,11/28/2006,1386.72
11/29/2006,10.83,,11/29/2006,1399.48
11/30/2006,10.91,,11/30/2006,1400.63
12/1/2006,11.66,,12/1/2006,1396.71
12/4/2006,11.23,,12/4/2006,1409.12
12/5/2006,11.27,,12/5/2006,1414.76
12/6/2006,11.33,,12/6/2006,1412.9
12/7/2006,12.67,,12/7/2006,1407.29
12/8/2006,12.07,,12/8/2006,1409.84
12/11/2006,10.71,,12/11/2006,1413.04
12/12/2006,10.65,,12/12/2006,1411.56
12/13/2006,10.18,,12/13/2006,1413.21
12/14/2006,9.97,,12/14/2006,1425.49
12/15/2006,10.05,,12/15/2006,1427.09
12/18/2006,10.6,,12/18/2006,1422.48
12/19/2006,10.3,,12/19/2006,1425.55
12/20/2006,10.26,,12/20/2006,1423.53
12/21/2006,10.53,,12/21/2006,1418.3
12/22/2006,11.36,,12/22/2006,1410.77
12/26/2006,11.26,,12/26/2006,1416.9
12/27/2006,10.64,,12/27/2006,1426.84
12/28/2006,10.99,,12/28/2006,1424.73
12/29/2006,11.56,,12/29/2006,1418.3
1/3/2007,12.04,,1/3/2007,1416.6
1/4/2007,11.51,,1/4/2007,1418.34
1/5/2007,12.14,,1/5/2007,1409.71
1/8/2007,12,,1/8/2007,1412.84
1/9/2007,11.91,,1/9/2007,1412.11
1/10/2007,11.47,,1/10/2007,1414.85
1/11/2007,10.87,,1/11/2007,1423.83
1/12/2007,10.15,,1/12/2007,1430.73
1/16/2007,10.74,,1/16/2007,1431.9
1/17/2007,10.59,,1/17/2007,1430.62
1/18/2007,10.85,,1/18/2007,1426.37
1/19/2007,10.4,,1/19/2007,1430.5
1/22/2007,10.77,,1/22/2007,1422.96
1/23/2007,10.34,,1/23/2007,1427.99
1/24/2007,9.89,,1/24/2007,1440.13
1/25/2007,11.22,,1/25/2007,1423.9
1/26/2007,11.13,,1/26/2007,1422.18
1/29/2007,11.45,,1/29/2007,1420.62
1/30/2007,10.96,,1/30/2007,1428.82
1/31/2007,10.42,,1/31/2007,1438.24
2/1/2007,10.31,,2/1/2007,1445.94
2/2/2007,10.08,,2/2/2007,1448.39
2/5/2007,10.55,,2/5/2007,1446.99
2/6/2007,10.65,,2/6/2007,1448
2/7/2007,10.32,,2/7/2007,1450.02
2/8/2007,10.44,,2/8/2007,1448.31
2/9/2007,11.1,,2/9/2007,1438.06
2/12/2007,11.61,,2/12/2007,1433.37
2/13/2007,10.34,,2/13/2007,1444.26
2/14/2007,10.23,,2/14/2007,1455.3
2/15/2007,10.22,,2/15/2007,1456.81
2/16/2007,10.02,,2/16/2007,1455.54
2/20/2007,10.24,,2/20/2007,1459.68
2/21/2007,10.2,,2/21/2007,1457.63
2/22/2007,10.18,,2/22/2007,1456.38
2/23/2007,10.58,,2/23/2007,1451.19
2/26/2007,11.15,,2/26/2007,1449.38
2/27/2007,18.31,,2/27/2007,1399.04
2/28/2007,15.42,,2/28/2007,1406.82
3/1/2007,15.82,,3/1/2007,1403.17
3/2/2007,18.61,,3/2/2007,1387.17
3/5/2007,19.63,,3/5/2007,1374.12
3/6/2007,15.96,,3/6/2007,1395.41
3/7/2007,15.24,,3/7/2007,1391.97
3/8/2007,14.29,,3/8/2007,1401.89
3/9/2007,14.09,,3/9/2007,1402.85
3/12/2007,13.99,,3/12/2007,1406.6
3/13/2007,18.13,,3/13/2007,1377.95
3/14/2007,17.27,,3/14/2007,1387.17
3/15/2007,16.43,,3/15/2007,1392.28
3/16/2007,16.79,,3/16/2007,1386.95
3/19/2007,14.59,,3/19/2007,1402.06
3/20/2007,13.27,,3/20/2007,1410.94
3/21/2007,12.19,,3/21/2007,1435.04
3/22/2007,12.93,,3/22/2007,1434.54
3/23/2007,12.95,,3/23/2007,1436.11
3/26/2007,13.16,,3/26/2007,1437.5
3/27/2007,13.48,,3/27/2007,1428.61
3/28/2007,14.98,,3/28/2007,1417.23
3/29/2007,15.14,,3/29/2007,1422.53
3/30/2007,14.64,,3/30/2007,1420.86
4/2/2007,14.53,,4/2/2007,1424.55
4/3/2007,13.46,,4/3/2007,1437.77
4/4/2007,13.24,,4/4/2007,1439.37
4/5/2007,13.23,,4/5/2007,1443.76
4/9/2007,13.14,,4/9/2007,1444.61
4/10/2007,12.68,,4/10/2007,1448.39
4/11/2007,13.49,,4/11/2007,1438.87
4/12/2007,12.71,,4/12/2007,1447.8
4/13/2007,12.2,,4/13/2007,1452.85
4/16/2007,11.98,,4/16/2007,1468.47
4/17/2007,12.14,,4/17/2007,1471.48
4/18/2007,12.42,,4/18/2007,1472.5
4/19/2007,12.54,,4/19/2007,1470.73
4/20/2007,12.07,,4/20/2007,1484.35
4/23/2007,13.04,,4/23/2007,1480.93
4/24/2007,13.12,,4/24/2007,1480.41
4/25/2007,13.21,,4/25/2007,1495.42
4/26/2007,12.79,,4/26/2007,1494.25
